expected_cut,best_sampled_cut,optimizer,depth,noise_condition,optimizer_evaluations,circuit_executions,total_executed_shots,two_qubit_gates,circuit_depth,simulator_runtime_seconds,optimal_parameters,experiment_id,graph_id,graph_family,num_nodes,num_edges,graph_seed,config_id,shots_per_circuit,exact_optimum,run_seed,schema_version,expected_approximation_ratio,best_sampled_approximation_ratio,run_status,failure_reason
6.38671875,10,COBYLA,3,N1,0,1,512,36,19,0.3517361860003802,"(1.9360129741077976, 0.03315018193913599, 0.5869365162732383, 1.3466432900435614, 0.12405903722850972, 0.31459622360796025)",G0001_C10_N1_S1001,G0001,erdos_renyi,10,12,10000,C10,512,10,1001,1.0,0.638671875,1.0,success,
7.67578125,10,SPSA,3,N1,0,1,256,36,19,0.3862991619998865,"(1.326646851493845, 2.2509910344723703, 2.010999302652437, 0.032150787560426414, 1.2233481049655328, -0.2507941129540549)",G0001_C11_N1_S1000,G0001,erdos_renyi,10,12,10000,C11,256,10,1000,1.0,0.767578125,1.0,success,
6.62890625,10,SPSA,3,N1,0,1,256,36,19,0.2288554629994905,"(1.7151161626890403, -0.1642765056797802, 0.7202440186682711, 1.387302630199088, 0.24609894208591954, 0.5294727973712167)",G0001_C11_N1_S1001,G0001,erdos_renyi,10,12,10000,C11,256,10,1001,1.0,0.662890625,1.0,success,
7.521484375,10,SPSA,3,N1,0,1,512,36,19,0.5538703809997969,"(1.2941053352293945, 2.2792210375690813, 1.8614111319194113, 0.03180069313775223, 1.2098677061548793, -0.2810317243573724)",G0001_C12_N1_S1000,G0001,erdos_renyi,10,12,10000,C12,512,10,1000,1.0,0.7521484375,1.0,success,
6.431640625,10,SPSA,3,N1,0,1,512,36,19,0.3657105729998875,"(1.820750892835922, -0.11273933480214945, 0.6215062568472713, 1.38713317405448, 0.13626462205585013, 0.4610926323585068)",G0001_C12_N1_S1001,G0001,erdos_renyi,10,12,10000,C12,512,10,1001,1.0,0.6431640625,1.0,success,
6.15625,10,COBYLA,1,N2,0,1,256,12,9,0.1425075719998858,"(2.571911315930139, 0.7021838283240782)",G0001_C01_N2_S1000,G0001,erdos_renyi,10,12,10000,C01,256,10,1000,1.0,0.615625,1.0,success,
6.33203125,10,COBYLA,1,N2,0,1,256,12,9,0.1473597329995755,"(2.399760218198843, 0.5280927795396901)",G0001_C01_N2_S1001,G0001,erdos_renyi,10,12,10000,C01,256,10,1001,1.0,0.633203125,1.0,success,
6.43359375,10,COBYLA,1,N2,0,1,512,12,9,0.2381423839997296,"(2.39823335692199, 0.45944896792997253)",G0001_C02_N2_S1000,G0001,erdos_renyi,10,12,10000,C02,512,10,1000,1.0,0.643359375,1.0,success,
6.369140625,10,COBYLA,1,N2,0,1,512,12,9,0.2303151119995163,"(2.090167101338823, 0.3859845814578535)",G0001_C02_N2_S1001,G0001,erdos_renyi,10,12,10000,C02,512,10,1001,1.0,0.6369140625,1.0,success,
6.21484375,10,SPSA,1,N2,0,1,256,12,9,0.1616631059996507,"(1.799791940575344, 0.3887379602600877)",G0001_C03_N2_S1000,G0001,erdos_renyi,10,12,10000,C03,256,10,1000,1.0,0.621484375,1.0,success,
