expected_cut,best_sampled_cut,optimizer,depth,noise_condition,optimizer_evaluations,circuit_executions,total_executed_shots,two_qubit_gates,circuit_depth,simulator_runtime_seconds,optimal_parameters,experiment_id,graph_id,graph_family,num_nodes,num_edges,graph_seed,config_id,shots_per_circuit,exact_optimum,run_seed,schema_version,expected_approximation_ratio,best_sampled_approximation_ratio,run_status,failure_reason
6.216796875,10,COBYLA,3,N0,54,55,28160,36,19,1.0742980269999407,"(1.9360129741077976, 0.03315018193913599, 0.5869365162732383, 1.3466432900435614, 0.12405903722850972, 0.31459622360796025)",G0001_C10_N0_S1001,G0001,erdos_renyi,10,12,10000,C10,512,10,1001,1.0,0.6216796875,1.0,success,
7.8828125,10,SPSA,3,N0,79,80,20480,36,19,0.5626684849999037,"(1.326646851493845, 2.2509910344723703, 2.010999302652437, 0.032150787560426414, 1.2233481049655328, -0.2507941129540549)",G0001_C11_N0_S1000,G0001,erdos_renyi,10,12,10000,C11,256,10,1000,1.0,0.78828125,1.0,success,
6.48046875,10,SPSA,3,N0,79,80,20480,36,19,0.5948094589998618,"(1.7151161626890403, -0.1642765056797802, 0.7202440186682711, 1.387302630199088, 0.24609894208591954, 0.5294727973712167)",G0001_C11_N0_S1001,G0001,erdos_renyi,10,12,10000,C11,256,10,1001,1.0,0.648046875,1.0,success,
7.931640625,10,SPSA,3,N0,79,80,40960,36,19,0.7000209360001008,"(1.2941053352293945, 2.2792210375690813, 1.8614111319194113, 0.03180069313775223, 1.2098677061548793, -0.2810317243573724)",G0001_C12_N0_S1000,G0001,erdos_renyi,10,12,10000,C12,512,10,1000,1.0,0.7931640625,1.0,success,
6.591796875,10,SPSA,3,N0,79,80,40960,36,19,0.7865720360000523,"(1.820750892835922, -0.11273933480214945, 0.6215062568472713, 1.38713317405448, 0.13626462205585013, 0.4610926323585068)",G0001_C12_N0_S1001,G0001,erdos_renyi,10,12,10000,C12,512,10,1001,1.0,0.6591796875,1.0,success,
7.640625,12,COBYLA,1,N0,24,25,6400,14,11,0.1798155220001263,"(2.1063628036840782, 0.9027410290092204)",G0002_C01_N0_S1000,G0002,erdos_renyi,10,14,10001,C01,256,12,1000,1.0,0.63671875,1.0,success,
7.6171875,12,COBYLA,1,N0,28,29,7424,14,11,0.208938807000095,"(2.3255376437174715, -0.22711867807161173)",G0002_C01_N0_S1001,G0002,erdos_renyi,10,14,10001,C01,256,12,1001,1.0,0.634765625,1.0,success,
7.7578125,12,COBYLA,1,N0,26,27,13824,14,11,0.240354453000009,"(2.083977952098982, 0.9423801977832252)",G0002_C02_N0_S1000,G0002,erdos_renyi,10,14,10001,C02,512,12,1000,1.0,0.646484375,1.0,success,
7.68359375,12,COBYLA,1,N0,28,29,14848,14,11,0.2849014830001124,"(2.3501777245684017, -0.339439686524254)",G0002_C02_N0_S1001,G0002,erdos_renyi,10,14,10001,C02,512,12,1001,1.0,0.6402994791666666,1.0,success,
7.9375,12,SPSA,1,N0,79,80,20480,14,11,0.4777441609999187,"(2.1176672496283198, 0.9944786068179889)",G0002_C03_N0_S1000,G0002,erdos_renyi,10,14,10001,C03,256,12,1000,1.0,0.6614583333333334,1.0,success,
