noise_condition,graphs,selected_mean,selected_ci95_low,selected_ci95_high,oracle_mean,mean_regret
ALL,14,0.7084739475553696,0.6920436531341355,0.7249042419766037,0.7314456581614234,0.022971710606053637
N0,14,0.7369181586943625,0.7086739832338481,0.7651623341548769,0.7623921931126245,0.025474034418261987
N1,14,0.702698650796724,0.6741026009426202,0.7312947006508278,0.731915046452546,0.02921639565582202
N2,14,0.6858050331750228,0.6626119531420169,0.7089981132080287,0.7000297349190997,0.014224701744076909
