graph_id,config_id,noise_condition,mean_expected_approximation_ratio,predicted_approximation_ratio,selected_actual_approximation_ratio,oracle_approximation_ratio,regret,oracle_config_id,selected_is_oracle,fixed_baseline_mean,gain_over_fixed_mean
G0010,C12,N0,0.6906389508928572,0.7109835092911218,0.6906389508928572,0.6906389508928572,0.0,C12,True,0.7199384291165043,-0.02929947822364709
G0010,C04,N1,0.5909598214285714,0.6947519629109798,0.5909598214285714,0.6614815848214286,0.0705217633928572,C12,False,0.7010062016956589,-0.11004638026708746
G0010,C04,N2,0.5848214285714286,0.682172818192309,0.5848214285714286,0.6128627232142857,0.028041294642857,C12,False,0.675059950808847,-0.09023852223741835
G0026,C12,N0,0.6902488425925926,0.6903555517990082,0.6902488425925926,0.6902488425925926,0.0,C12,True,0.7199384291165043,-0.029689586523911737
G0026,C12,N1,0.6913700810185185,0.6782218753871403,0.6913700810185185,0.6913700810185185,0.0,C12,True,0.7010062016956589,-0.00963612067714037
G0026,C02,N2,0.6788194444444444,0.6709856077874108,0.6788194444444444,0.6909722222222222,0.0121527777777777,C12,False,0.675059950808847,0.003759493635597466
G0028,C12,N0,0.7408329133064516,0.7587908962813185,0.7408329133064516,0.752016129032258,0.0111832157258063,C01,False,0.7199384291165043,0.020894484189947327
G0028,C11,N1,0.6866809475806451,0.746542849622794,0.6866809475806451,0.7397933467741935,0.0531123991935483,C01,False,0.7010062016956589,-0.01432525411501373
G0028,C11,N2,0.6537928427419355,0.725419829514923,0.6537928427419355,0.707976310483871,0.0541834677419355,C01,False,0.675059950808847,-0.021267108066911455
G0029,C12,N0,0.7025525323275862,0.7587908962813185,0.7025525323275862,0.7048760775862069,0.0023235452586206,C07,False,0.7199384291165043,-0.01738589678891811
G0029,C11,N1,0.6899245689655172,0.746542849622794,0.6899245689655172,0.6948747306034483,0.004950161637931,C10,False,0.7010062016956589,-0.011081632730141622
G0029,C11,N2,0.689520474137931,0.725419829514923,0.689520474137931,0.6951778017241379,0.0056573275862068,C02,False,0.675059950808847,0.014460523329084096
G0042,C02,N0,0.6642659505208333,0.7054783989200705,0.6642659505208333,0.6811930338541667,0.0169270833333334,C08,False,0.7199384291165043,-0.05567247859567104
G0042,C02,N1,0.6691487630208333,0.7044075796043613,0.6691487630208333,0.6765543619791667,0.0074055989583334,C08,False,0.7010062016956589,-0.0318574386748256
G0042,C02,N2,0.6702880859375,0.6987043215592893,0.6702880859375,0.67449951171875,0.00421142578125,C08,False,0.675059950808847,-0.004771864871346954
G0048,C06,N0,0.6774811921296297,0.7213092073704693,0.6774811921296297,0.7268880208333333,0.0494068287037036,C10,False,0.7199384291165043,-0.04245723698687465
G0048,C06,N1,0.6818033854166666,0.7168912749955587,0.6818033854166666,0.7035047743055556,0.0217013888888889,C10,False,0.7010062016956589,-0.01920281627899223
G0048,C06,N2,0.6816767939814814,0.7036857057212115,0.6816767939814814,0.6834671585648149,0.0017903645833334,C10,False,0.675059950808847,0.006616843172634446
G0049,C12,N0,0.7298611111111111,0.7253571406621797,0.7298611111111111,0.7298611111111111,0.0,C12,True,0.7199384291165043,0.009922681994606775
G0049,C03,N1,0.6674045138888889,0.7095977675016868,0.6674045138888889,0.7044270833333333,0.0370225694444443,C12,False,0.7010062016956589,-0.033601687806769975
G0049,C03,N2,0.6708333333333334,0.7038351361582107,0.6708333333333334,0.6863932291666667,0.0155598958333332,C06,False,0.675059950808847,-0.004226617475513561
G0050,C01,N0,0.6818311737804879,0.7127051558783734,0.6818311737804879,0.6892863948170731,0.0074552210365852,C12,False,0.7199384291165043,-0.03810725533601644
G0050,C01,N1,0.6753048780487805,0.7111032461746049,0.6753048780487805,0.6796875,0.0043826219512195,C12,False,0.7010062016956589,-0.025701323646878382
