noise_condition,n_graph_condition_pairs,graphs,selected_mean,selected_std,selected_ci95_low,selected_ci95_high,oracle_mean,mean_regret,regret_std,oracle_selection_accuracy,fixed_baseline_mean,absolute_gain_over_fixed,relative_gain_percent
ALL,42,14,0.7084739475553696,0.05432677435842643,0.6920436531341355,0.7249042419766037,0.7314456581614234,0.022971710606053637,0.023928544006855748,0.11904761904761904,0.6986681938736701,0.009805753681699558,1.4034922109925887
N0,14,14,0.7369181586943625,0.05391838150263932,0.7086739832338481,0.7651623341548769,0.7623921931126245,0.025474034418261987,0.026600426017710142,0.21428571428571427,0.7199384291165043,0.016979729577858205,2.3584974618864876
N1,14,14,0.702698650796724,0.05459011284140994,0.6741026009426202,0.7312947006508278,0.731915046452546,0.02921639565582202,0.0252831514898721,0.07142857142857142,0.7010062016956589,0.001692449101065141,0.24143140202915295
N2,14,14,0.6858050331750228,0.04427579552425292,0.6626119531420169,0.7089981132080287,0.7000297349190997,0.014224701744076909,0.018106879812626438,0.07142857142857142,0.675059950808847,0.010745082366175884,1.591722683785534
