graph_id,config_id,noise_condition,depth,optimizer,shots,mean_expected_approximation_ratio,std_expected_approximation_ratio,n_seeds,num_nodes,num_edges,graph_family,graph_seed,density,optimizer_code,noise_code,family_code
G0004,C04,N0,1,SPSA,512,0.5744977678571428,0.021505200655506065,2,10,16,erdos_renyi,10003,0.35555555555555557,1,0,0
G0004,C05,N0,2,COBYLA,256,0.5799386160714286,0.006116157984593486,2,10,16,erdos_renyi,10003,0.35555555555555557,0,0,0
G0004,C06,N0,2,COBYLA,512,0.5992606026785714,0.02772000634952842,2,10,16,erdos_renyi,10003,0.35555555555555557,0,0,0
G0004,C07,N0,2,SPSA,256,0.6037946428571428,0.015783633508628197,2,10,16,erdos_renyi,10003,0.35555555555555557,1,0,0
G0004,C08,N0,2,SPSA,512,0.5980747767857143,0.003354022120583535,2,10,16,erdos_renyi,10003,0.35555555555555557,1,0,0
G0004,C09,N0,3,COBYLA,256,0.6007254464285714,0.0011837725131471275,2,10,16,erdos_renyi,10003,0.35555555555555557,0,0,0
G0004,C10,N0,3,COBYLA,512,0.6003069196428572,0.006116157984593368,2,10,16,erdos_renyi,10003,0.35555555555555557,0,0,0
G0004,C11,N0,3,SPSA,256,0.5998883928571429,0.0,2,10,16,erdos_renyi,10003,0.35555555555555557,1,0,0
G0004,C12,N0,3,SPSA,512,0.6109793526785714,0.003452669830012439,2,10,16,erdos_renyi,10003,0.35555555555555557,1,0,0
G0005,C01,N0,1,COBYLA,256,0.6626953124999999,0.030107280917708524,2,10,12,erdos_renyi,10004,0.26666666666666666,0,0,0
G0005,C02,N0,1,COBYLA,512,0.630859375,0.00580048531442096,2,10,12,erdos_renyi,10004,0.26666666666666666,0,0,0
G0005,C03,N0,1,SPSA,256,0.673046875,0.006076698900821979,2,10,12,erdos_renyi,10004,0.26666666666666666,1,0,0
G0005,C04,N0,1,SPSA,512,0.6854492187500001,0.03355995074772096,2,10,12,erdos_renyi,10004,0.26666666666666666,1,0,0
G0005,C05,N0,2,COBYLA,256,0.677734375,0.035907766232129365,2,10,12,erdos_renyi,10004,0.26666666666666666,0,0,0
G0005,C06,N0,2,COBYLA,512,0.7176757812500001,0.11228082287200458,2,10,12,erdos_renyi,10004,0.26666666666666666,0,0,0
G0005,C07,N0,2,SPSA,256,0.688671875,0.0392223292689414,2,10,12,erdos_renyi,10004,0.26666666666666666,1,0,0
G0005,C08,N0,2,SPSA,512,0.7232421875,0.0999893182771602,2,10,12,erdos_renyi,10004,0.26666666666666666,1,0,0
G0005,C09,N0,3,COBYLA,256,0.6677734375,0.03894611568254026,2,10,12,erdos_renyi,10004,0.26666666666666666,0,0,0
G0005,C10,N0,3,COBYLA,512,0.642578125,0.02209708691207961,2,10,12,erdos_renyi,10004,0.26666666666666666,0,0,0
G0005,C11,N0,3,SPSA,256,0.80625,0.007733980419227895,2,10,12,erdos_renyi,10004,0.26666666666666666,1,0,0
G0005,C12,N0,3,SPSA,512,0.834375,0.027621358640099514,2,10,12,erdos_renyi,10004,0.26666666666666666,1,0,0
G0006,C01,N0,1,COBYLA,256,0.6121419270833333,0.012659789376712343,2,10,14,erdos_renyi,10005,0.3111111111111111,0,0,0
G0006,C02,N0,1,COBYLA,512,0.62353515625,0.007135517648692321,2,10,14,erdos_renyi,10005,0.3111111111111111,0,0,0
G0006,C03,N0,1,SPSA,256,0.62548828125,0.012199433399377338,2,10,14,erdos_renyi,10005,0.3111111111111111,1,0,0
G0006,C04,N0,1,SPSA,512,0.628662109375,0.0017263349150062196,2,10,14,erdos_renyi,10005,0.3111111111111111,1,0,0
G0006,C05,N0,2,COBYLA,256,0.6240234375,0.03959061405080925,2,10,14,erdos_renyi,10005,0.3111111111111111,0,0,0
G0006,C06,N0,2,COBYLA,512,0.637939453125,0.02750626964576571,2,10,14,erdos_renyi,10005,0.3111111111111111,0,0,0
G0006,C07,N0,2,SPSA,256,0.6399739583333333,0.0105881874787048,2,10,14,erdos_renyi,10005,0.3111111111111111,1,0,0
G0006,C08,N0,2,SPSA,512,0.6402994791666667,0.011969255410709855,2,10,14,erdos_renyi,10005,0.3111111111111111,1,0,0
G0006,C09,N0,3,COBYLA,256,0.5856119791666667,0.006444983682689952,2,10,14,erdos_renyi,10005,0.3111111111111111,0,0,0
