graph_id,config_id,noise_condition,run_seed,depth,optimizer,shots,expected_approximation_ratio
G0005,C05,N0,1000,2,COBYLA,256,0.703125
G0005,C05,N0,1001,2,COBYLA,256,0.65234375
G0005,C06,N0,1000,2,COBYLA,512,0.7970703125
G0005,C06,N0,1001,2,COBYLA,512,0.63828125
G0005,C07,N0,1000,2,SPSA,256,0.71640625
G0005,C07,N0,1001,2,SPSA,256,0.6609375
G0005,C08,N0,1000,2,SPSA,512,0.7939453125
G0005,C08,N0,1001,2,SPSA,512,0.6525390625
G0005,C09,N0,1000,3,COBYLA,256,0.6953125
G0005,C09,N0,1001,3,COBYLA,256,0.640234375
G0005,C10,N0,1000,3,COBYLA,512,0.626953125
G0005,C10,N0,1001,3,COBYLA,512,0.658203125
G0005,C11,N0,1000,3,SPSA,256,0.81171875
G0005,C11,N0,1001,3,SPSA,256,0.80078125
G0005,C12,N0,1000,3,SPSA,512,0.81484375
G0005,C12,N0,1001,3,SPSA,512,0.85390625
G0006,C01,N0,1000,1,COBYLA,256,0.6031901041666666
G0006,C01,N0,1001,1,COBYLA,256,0.62109375
G0006,C02,N0,1000,1,COBYLA,512,0.6285807291666666
G0006,C02,N0,1001,1,COBYLA,512,0.6184895833333334
G0006,C03,N0,1000,1,SPSA,256,0.6168619791666666
G0006,C03,N0,1001,1,SPSA,256,0.6341145833333334
G0006,C04,N0,1000,1,SPSA,512,0.62744140625
G0006,C04,N0,1001,1,SPSA,512,0.6298828125
G0006,C05,N0,1000,2,COBYLA,256,0.6520182291666666
G0006,C05,N0,1001,2,COBYLA,256,0.5960286458333334
G0006,C06,N0,1000,2,COBYLA,512,0.6573893229166666
G0006,C06,N0,1001,2,COBYLA,512,0.6184895833333334
G0006,C07,N0,1000,2,SPSA,256,0.6474609375
G0006,C07,N0,1001,2,SPSA,256,0.6324869791666666
G0006,C08,N0,1000,2,SPSA,512,0.6487630208333334
G0006,C08,N0,1001,2,SPSA,512,0.6318359375
G0006,C09,N0,1000,3,COBYLA,256,0.5901692708333334
G0006,C09,N0,1001,3,COBYLA,256,0.5810546875
G0006,C10,N0,1000,3,COBYLA,512,0.63623046875
G0006,C10,N0,1001,3,COBYLA,512,0.6142578125
G0006,C11,N0,1000,3,SPSA,256,0.6370442708333334
G0006,C11,N0,1001,3,SPSA,256,0.6402994791666666
G0006,C12,N0,1000,3,SPSA,512,0.64013671875
G0006,C12,N0,1001,3,SPSA,512,0.64501953125
G0007,C01,N0,1000,1,COBYLA,256,0.5961538461538461
G0007,C01,N0,1001,1,COBYLA,256,0.6409254807692307
G0007,C02,N0,1000,1,COBYLA,512,0.6183894230769231
G0007,C02,N0,1001,1,COBYLA,512,0.6696213942307693
G0007,C03,N0,1000,1,SPSA,256,0.6430288461538461
G0007,C03,N0,1001,1,SPSA,256,0.6042668269230769
G0007,C04,N0,1000,1,SPSA,512,0.6080228365384616
G0007,C04,N0,1001,1,SPSA,512,0.5972055288461539
G0007,C05,N0,1000,2,COBYLA,256,0.6231971153846154
G0007,C05,N0,1001,2,COBYLA,256,0.6631610576923077
G0007,C06,N0,1000,2,COBYLA,512,0.6744290865384616
G0007,C06,N0,1001,2,COBYLA,512,0.6490384615384616
G0007,C07,N0,1000,2,SPSA,256,0.7749399038461539
G0007,C07,N0,1001,2,SPSA,256,0.6274038461538461
G0007,C08,N0,1000,2,SPSA,512,0.6911057692307693
G0007,C08,N0,1001,2,SPSA,512,0.6212439903846154
G0007,C09,N0,1000,3,COBYLA,256,0.6021634615384616
G0007,C09,N0,1001,3,COBYLA,256,0.65625
G0007,C10,N0,1000,3,COBYLA,512,0.6885516826923077
G0007,C10,N0,1001,3,COBYLA,512,0.6678185096153846
G0007,C11,N0,1000,3,SPSA,256,0.62109375
G0007,C11,N0,1001,3,SPSA,256,0.6754807692307693
G0007,C12,N0,1000,3,SPSA,512,0.6219951923076923
G0007,C12,N0,1001,3,SPSA,512,0.7025240384615384
G0008,C01,N0,1000,1,COBYLA,256,0.6695963541666666
G0008,C01,N0,1001,1,COBYLA,256,0.6770833333333334
G0008,C02,N0,1000,1,COBYLA,512,0.6778971354166666
G0008,C02,N0,1001,1,COBYLA,512,0.6805013020833334
G0008,C03,N0,1000,1,SPSA,256,0.6442057291666666
G0008,C03,N0,1001,1,SPSA,256,0.6490885416666666
G0008,C04,N0,1000,1,SPSA,512,0.7120768229166666
G0008,C04,N0,1001,1,SPSA,512,0.6617838541666666
