noise_condition,graphs,selected_mean,oracle_mean,mean_regret,zero_regret_fraction
ALL,14,0.7043758435604441,0.7314456581614234,0.027069814600979188,0.07142857142857142
N0,14,0.724803579789884,0.7623921931126245,0.03758861332274046,0.07142857142857142
N1,14,0.7032118997160834,0.731915046452546,0.028703146736462657,0.07142857142857142
N2,14,0.6851120511753653,0.7000297349190997,0.014917683743734462,0.07142857142857142
