noise_condition,n,ml_mean,fixed_c06_mean,mean_ml_minus_fixed,median_ml_minus_fixed,std_difference,ci95_low,ci95_high,wilcoxon_statistic,wilcoxon_pvalue,paired_cohens_d,ml_better_fraction
ALL,42,0.7084739475553696,0.6986681938736701,0.009805753681699659,0.0019919262637687063,0.025016621822742748,0.0022398625198110592,0.01737164484358826,122.0,0.004625048279580867,0.3919695373411767,0.5714285714285714
N0,14,0.7369181586943625,0.7199384291165043,0.016979729577858187,0.0,0.030807727255974457,0.000841655141873468,0.03311780401384291,1.0,0.027991815485665747,0.551151645714643,0.42857142857142855
N1,14,0.702698650796724,0.7010062016956589,0.001692449101065022,0.004306238172834376,0.021781856433497438,-0.009717585062021306,0.013102483264151348,28.0,0.221330082993901,0.07769994748759214,0.6428571428571429
N2,14,0.6858050331750228,0.675059950808847,0.010745082366175765,0.0052023329493087744,0.02056565673260446,-2.7867433661177277e-05,0.021518032166012706,21.0,0.08686008151624075,0.5224769870412495,0.6428571428571429
