graph_id,noise_condition,ml_performance,fixed_c06_performance,ml_minus_fixed,relative_gain_percent
G0010,N0,0.6906389508928572,0.595703125,0.0949358258928572,15.936768149882914
G0026,N0,0.6902488425925926,0.6764684606481481,0.01378038194444442,2.037106346575412
G0028,N0,0.7408329133064516,0.670835433467742,0.06999747983870963,10.434374266259677
G0029,N0,0.7025525323275862,0.6892174030172413,0.013335129310344862,1.9348219084379785
G0042,N0,0.6642659505208333,0.6683349609375,-0.004069010416666741,-0.6088280060882911
G0048,N0,0.6774811921296297,0.6774811921296297,0.0,0.0
G0049,N0,0.7298611111111111,0.6844835069444444,0.045377604166666696,6.629466408801248
G0050,N0,0.6818311737804879,0.6774723704268293,0.004358803353658569,0.6433920472524043
G0068,N0,0.76953125,0.76953125,0.0,0.0
G0070,N0,0.759765625,0.759765625,0.0,0.0
G0081,N0,0.8250558035714286,0.8250558035714286,0.0,0.0
G0082,N0,0.8187081473214286,0.8187081473214286,0.0,0.0
G0083,N0,0.7895182291666667,0.7895182291666667,0.0,0.0
G0087,N0,0.7765625,0.7765625,0.0,0.0
G0010,N1,0.5909598214285714,0.5905412946428572,0.00041852678571419055,0.07087172218283293
G0026,N1,0.6913700810185185,0.6830512152777778,0.0083188657407407,1.2178978024887417
G0028,N1,0.6866809475806451,0.6637159778225806,0.022964969758064502,3.4600598035027743
G0029,N1,0.6899245689655172,0.6831223060344827,0.006802262931034586,0.9957606230898309
G0042,N1,0.6691487630208333,0.6693522135416666,-0.00020345052083337034,-0.030395136778121033
G0048,N1,0.6818033854166666,0.6818033854166666,0.0,0.0
G0049,N1,0.6674045138888889,0.6875,-0.020095486111111116,-2.922979797979799
G0050,N1,0.6753048780487805,0.6734946646341463,0.0018102134146341653,0.26877917668694584
G0068,N1,0.72314453125,0.73017578125,-0.007031250000000044,-0.9629530560385241
G0070,N1,0.73857421875,0.7119140625,0.026660156249999956,3.744855967078183
G0081,N1,0.7940150669642857,0.7783900669642857,0.015625,2.007348328703289
G0082,N1,0.7913643973214286,0.7835518973214286,0.0078125,0.9970622273657972
G0083,N1,0.762109375,0.7410807291666667,0.021028645833333304,2.83756478959852
G0087,N1,0.6759765625,0.7363932291666666,-0.06041666666666656,-8.204402793740593
G0010,N2,0.5848214285714286,0.5765904017857143,0.008231026785714302,1.4275344785869855
G0026,N2,0.6788194444444444,0.6834129050925926,-0.00459346064814814,-0.6721354855781941
G0028,N2,0.6537928427419355,0.6516192036290323,0.0021736391129032473,0.33357505438724044
G0029,N2,0.689520474137931,0.6799232219827587,0.009597252155172376,1.4115199841513488
G0042,N2,0.6702880859375,0.6695556640625,0.000732421875,0.10938924339106655
G0048,N2,0.6816767939814814,0.6816767939814814,0.0,0.0
G0049,N2,0.6708333333333334,0.6863932291666667,-0.015559895833333282,-2.266906952480311
G0050,N2,0.6738757621951219,0.6741139481707317,-0.0002381859756097615,-0.03533319200056614
G0068,N2,0.6932617187500001,0.6768554687499999,0.016406250000000178,2.4238926561823955
G0070,N2,0.7056640625,0.66591796875,0.039746093750000044,5.968617099281427
G0081,N2,0.7647181919642857,0.7198660714285714,0.0448521205357143,6.230620155038763
G0082,N2,0.7560686383928571,0.7268415178571429,0.02922712053571419,4.021113243761983
G0083,N2,0.7201171875,0.6804036458333333,0.03971354166666663,5.836762032341397
G0087,N2,0.6578125,0.6776692708333334,-0.01985677083333337,-2.9301565952541124
