graph_id,ml_mean,oracle_mean,regret_mean,ml_minus_oracle
G0010,0.6221400669642857,0.6549944196428572,0.032854352678571404,-0.03285435267857151
G0026,0.6868127893518517,0.6908637152777777,0.0040509259259259,-0.00405092592592593
G0028,0.6937689012096774,0.7332619287634409,0.03949302755376336,-0.03949302755376349
G0029,0.6939991918103449,0.698309536637931,0.004310344827586133,-0.004310344827586188
G0042,0.6679009331597222,0.6774156358506945,0.009514702690972267,-0.009514702690972321
G0048,0.6803204571759259,0.7046199845679012,0.0242995273919753,-0.024299527391975273
G0049,0.6893663194444445,0.7068938078703703,0.017527488425925834,-0.017527488425925775
G0050,0.6770039380081302,0.6817438389227641,0.0047399009146341,-0.004739900914633943
G0068,0.7286458333333333,0.7696940104166666,0.04104817708333327,-0.041048177083333304
G0070,0.7346679687500001,0.7744140625,0.03974609374999997,-0.03974609374999993
G0081,0.7945963541666666,0.8250790550595238,0.030482700892857165,-0.030482700892857206
G0082,0.7887137276785715,0.8035481770833334,0.014834449404761934,-0.014834449404761862
G0083,0.7572482638888888,0.7733723958333334,0.0161241319444444,-0.01612413194444462
G0087,0.7034505208333334,0.7460286458333334,0.042578124999999904,-0.04257812500000002
