noise_condition,n,ml_mean,oracle_mean,mean_ml_minus_oracle,median_ml_minus_oracle,std_difference,ci95_low,ci95_high,wilcoxon_statistic,wilcoxon_pvalue,paired_cohens_d
ALL,42,0.7084739475553696,0.7314456581614234,-0.022971710606053675,-0.011667996751792087,0.02392854400685575,-0.030208529426001107,-0.015734891786106243,0.0,1.140214479510659e-07,-0.9600128866792759
N0,14,0.7369181586943625,0.7623921931126245,-0.025474034418262015,-0.014055149529569932,0.02660042601771014,-0.03940818968833186,-0.011539879148192171,0.0,0.0033456181158508813,-0.9576551293314555
N1,14,0.702698650796724,0.731915046452546,-0.029216395655822062,-0.02434818328373023,0.025283151489872105,-0.042460520330442696,-0.01597227098120143,0.0,0.0014737808438751421,-1.155567796503752
N2,14,0.6858050331750228,0.7000297349190997,-0.014224701744076949,-0.007809132543103392,0.018106879812626448,-0.02370966542840479,-0.004739738059749109,0.0,0.0014737808438751421,-0.785596518631424
