noise_condition,ml_mean,ml_std,ml_median,ml_n,fixed_mean,fixed_std,fixed_median,fixed_n,ml_minus_fixed,relative_gain_percent
N0,0.7369181586943624,0.05391838150263929,0.7353470122087813,14,0.7199384291165043,0.0685583940669437,0.6868504549808429,14,0.016979729577858094,2.3584974618864725
N1,0.702698650796724,0.054590112841409945,0.6883027582730812,14,0.7010062016956589,0.0505168720916553,0.6853111530172413,14,0.001692449101065141,0.24143140202915295
N2,0.6858050331750228,0.04427579552425293,0.6802481192129629,14,0.675059950808847,0.0343664016933595,0.678796246408046,14,0.010745082366175884,1.591722683785534
