graph_id,config_id,noise_condition,depth,optimizer,shots,mean_expected_approximation_ratio,std_expected_approximation_ratio,n_seeds,num_nodes,num_edges,graph_family,graph_seed,density,optimizer_code,noise_code,family_code,split
G0001,C01,N0,1,COBYLA,256,0.6294921875,0.0146393200792527,2,10,12,erdos_renyi,10000,0.2666666666666666,0,0,0,train
G0001,C02,N0,1,COBYLA,512,0.64853515625,0.0158822812180572,2,10,12,erdos_renyi,10000,0.2666666666666666,0,0,0,train
G0001,C03,N0,1,SPSA,256,0.6363281249999999,0.0093912619376338,2,10,12,erdos_renyi,10000,0.2666666666666666,1,0,0,train
G0001,C04,N0,1,SPSA,512,0.6375,0.0071815532464258,2,10,12,erdos_renyi,10000,0.2666666666666666,1,0,0,train
G0001,C05,N0,2,COBYLA,256,0.67421875,0.0193349510480696,2,10,12,erdos_renyi,10000,0.2666666666666666,0,0,0,train
G0001,C06,N0,2,COBYLA,512,0.6357421875,0.0110485434560398,2,10,12,erdos_renyi,10000,0.2666666666666666,0,0,0,train
G0001,C07,N0,2,SPSA,256,0.704296875,0.1016465997955662,2,10,12,erdos_renyi,10000,0.2666666666666666,1,0,0,train
G0001,C08,N0,2,SPSA,512,0.6673828125000001,0.0375650477505353,2,10,12,erdos_renyi,10000,0.2666666666666666,1,0,0,train
G0001,C09,N0,3,COBYLA,256,0.646875,0.0392223292689412,2,10,12,erdos_renyi,10000,0.2666666666666666,0,0,0,train
G0001,C10,N0,3,COBYLA,512,0.63056640625,0.0125677181812452,2,10,12,erdos_renyi,10000,0.2666666666666666,0,0,0,train
G0001,C11,N0,3,SPSA,256,0.7181640625000001,0.0991606775179573,2,10,12,erdos_renyi,10000,0.2666666666666666,1,0,0,train
G0001,C12,N0,3,SPSA,512,0.726171875,0.0947412601355413,2,10,12,erdos_renyi,10000,0.2666666666666666,1,0,0,train
G0002,C01,N0,1,COBYLA,256,0.6357421875,0.0013810679320049,2,10,14,erdos_renyi,10001,0.3111111111111111,0,0,0,train
G0002,C02,N0,1,COBYLA,512,0.6433919270833333,0.0043733817846824,2,10,14,erdos_renyi,10001,0.3111111111111111,0,0,0,train
G0002,C03,N0,1,SPSA,256,0.6554361979166667,0.0085165855806974,2,10,14,erdos_renyi,10001,0.3111111111111111,1,0,0,train
G0002,C04,N0,1,SPSA,512,0.658203125,0.00184142390934,2,10,14,erdos_renyi,10001,0.3111111111111111,1,0,0,train
G0002,C05,N0,2,COBYLA,256,0.6490885416666667,0.0257799347307596,2,10,14,erdos_renyi,10001,0.3111111111111111,0,0,0,train
G0002,C06,N0,2,COBYLA,512,0.662353515625,0.0194500400424034,2,10,14,erdos_renyi,10001,0.3111111111111111,0,0,0,train
G0002,C07,N0,2,SPSA,256,0.6697591145833334,0.0214065529460771,2,10,14,erdos_renyi,10001,0.3111111111111111,1,0,0,train
G0002,C08,N0,2,SPSA,512,0.6682942708333334,0.0207160189800746,2,10,14,erdos_renyi,10001,0.3111111111111111,1,0,0,train
G0002,C09,N0,3,COBYLA,256,0.6590169270833333,0.0195651290367371,2,10,14,erdos_renyi,10001,0.3111111111111111,0,0,0,train
G0002,C10,N0,3,COBYLA,512,0.6708984375,0.0230177988667495,2,10,14,erdos_renyi,10001,0.3111111111111111,0,0,0,train
G0002,C11,N0,3,SPSA,256,0.6695963541666667,0.0115088994333748,2,10,14,erdos_renyi,10001,0.3111111111111111,1,0,0,train
